iter	Logloss
0	0.688193806
1	0.6826434152
2	0.6720062871
3	0.6657301971
4	0.6579864779
5	0.6503948615
6	0.6437296249
7	0.6385053107
8	0.6302278309
9	0.6247495629
10	0.6194195659
11	0.613703496
12	0.6082098049
13	0.6003166021
14	0.5954374075
15	0.5897852119
16	0.5837318593
17	0.5790804004
18	0.572416394
19	0.5690724685
20	0.5641315817
21	0.5602615743
22	0.5558206001
23	0.5525311505
24	0.5484324663
25	0.5438027875
26	0.5370281181
27	0.5335413716
28	0.5279355201
29	0.5251393488
30	0.5214365052
31	0.5171248511
32	0.5142094998
33	0.5114578434
34	0.5096074787
35	0.5066824312
36	0.502156431
37	0.4987231037
38	0.4936091371
39	0.4890477177
40	0.484640698
41	0.479902532
42	0.4772285594
43	0.4735437431
44	0.4713905849
45	0.4694725914
46	0.4664182706
47	0.4621679138
48	0.4587051601
49	0.4563029433
50	0.4544296654
51	0.4529453905
52	0.4512247772
53	0.44782876
54	0.4434968537
55	0.4410504918
56	0.438925855
57	0.4357084449
58	0.4327850646
59	0.4291734939
60	0.4263371752
61	0.4238455332
62	0.420476276
63	0.418560202
64	0.4155739923
65	0.4119904881
66	0.4081826575
67	0.4051498965
68	0.4029256823
69	0.3997871353
70	0.3975656994
71	0.3943453285
72	0.3924655026
73	0.3906279973
74	0.3886950843
75	0.3860771766
76	0.3839720853
77	0.3820948297
78	0.3796955371
79	0.3778656271
80	0.3753877611
81	0.3741719492
82	0.3718216212
83	0.3705220551
84	0.3696141182
85	0.3681780477
86	0.3651349836
87	0.362868944
88	0.3616019366
89	0.3591656928
90	0.3550168653
91	0.3527587628
92	0.3510579199
93	0.3487713556
94	0.3461827928
95	0.3436457138
96	0.3414084729
97	0.3399630165
98	0.3385138864
99	0.336608124
100	0.3346099902
101	0.3334196173
102	0.331515019
103	0.3290985738
104	0.3271416158
105	0.3247074546
106	0.3225940807
107	0.3207218148
108	0.3188835784
109	0.3168966028
110	0.3156452288
111	0.313831558
112	0.3120639726
113	0.3110390123
114	0.3092980385
115	0.3079892738
116	0.3055010876
117	0.3039695414
118	0.3014006457
119	0.3005435394
120	0.2994662681
121	0.298636743
122	0.2971060848
123	0.2955605254
124	0.2940517457
125	0.2924495875
126	0.2913335027
127	0.2900185257
128	0.2891570743
129	0.2873812853
130	0.2857582289
131	0.2844132477
132	0.2828882981
133	0.280846642
134	0.2797596309
135	0.2781437672
136	0.2769423529
137	0.275295277
138	0.2740246885
139	0.2723393185
140	0.2715071111
141	0.2705550729
142	0.2692942291
143	0.2673826729
144	0.2657547897
145	0.2642772636
146	0.2628895738
147	0.2613494189
148	0.2606719209
149	0.2592503757
150	0.2575845548
151	0.2566059876
152	0.2556222848
153	0.25375718
154	0.2529019774
155	0.251588853
156	0.2504481734
157	0.2488155973
158	0.2474222086
159	0.2465059295
160	0.2450801158
161	0.2436035166
162	0.2417651682
163	0.2410565152
164	0.2405523208
165	0.239780842
166	0.2389814245
167	0.2383486032
168	0.2372162464
169	0.2357748358
170	0.2348538759
171	0.2336697919
172	0.2330379389
173	0.2317655743
174	0.2302715
175	0.2293913924
176	0.2282804202
177	0.2272566435
178	0.2262779036
179	0.2251392262
180	0.2244973767
181	0.2234997506
182	0.2224475364
183	0.2211342466
184	0.2197587052
185	0.2189741816
186	0.2174653934
187	0.2166678005
188	0.2153666482
189	0.2139913865
190	0.213072463
191	0.211418619
192	0.2107810974
193	0.2101460379
194	0.2093114707
195	0.2079175784
196	0.2067571903
197	0.2058603983
198	0.2051887828
199	0.2044683452
200	0.2037823006
201	0.203253313
202	0.20148016
203	0.2006938944
204	0.2001072752
205	0.1996114789
206	0.1986240878
207	0.1977481964
208	0.1968253097
209	0.1957225313
210	0.1950506142
211	0.1945189043
212	0.1932854652
213	0.192563181
214	0.1913637117
215	0.1905129126
216	0.1901058786
217	0.1886470294
218	0.1878532488
219	0.187238557
220	0.1858394049
221	0.1847805223
222	0.1841836389
223	0.1835999562
224	0.1823288105
225	0.1815772738
226	0.1802696719
227	0.179814127
228	0.179061369
229	0.1784907482
230	0.1779390598
231	0.1769020022
232	0.1759298845
233	0.1750841895
234	0.1743826623
235	0.1735581379
236	0.1727608467
237	0.1716544409
238	0.1708783252
239	0.1704364626
240	0.1698460701
241	0.1688253758
242	0.1677699235
243	0.1664829424
244	0.1659381949
245	0.1653204037
246	0.1645493361
247	0.1637152287
248	0.1629719807
249	0.1620456175
250	0.1613351107
251	0.1605631502
252	0.1596059751
253	0.1585499437
254	0.1579566197
255	0.156591936
256	0.1559937998
257	0.1549968841
258	0.1543394522
259	0.1537980863
260	0.1533230835
261	0.1526472009
262	0.1519415598
263	0.1515658364
264	0.1507542012
265	0.1500727473
266	0.1494329876
267	0.1486942111
268	0.1477011272
269	0.1469991353
270	0.1464915981
271	0.1462649423
272	0.1451393439
273	0.1445771334
274	0.1438348829
275	0.1431469041
276	0.1426276869
277	0.1424578063
278	0.1420117836
279	0.1417341086
280	0.1410780342
281	0.1404323164
282	0.1396716663
283	0.1388543552
284	0.1383414877
285	0.1377238157
286	0.1371685169
287	0.1367693629
288	0.1360743289
289	0.1354126298
290	0.1348449576
291	0.1340793785
292	0.1338364299
293	0.1332617828
294	0.1329941263
295	0.1325812753
296	0.1321403761
297	0.1311041798
298	0.1302198001
299	0.1292499474
300	0.128520063
301	0.1281169312
302	0.1276451179
303	0.1270696947
304	0.1263604067
305	0.1261510971
306	0.1255971145
307	0.1248833038
308	0.1244216476
309	0.1240246637
310	0.1238131718
311	0.1234572834
312	0.1228723696
313	0.1223635747
314	0.1218809692
315	0.121154554
316	0.1202785288
317	0.1197173839
318	0.1193037033
319	0.1190273616
320	0.1187881499
321	0.1184478755
322	0.1178574805
323	0.1173645282
324	0.1169260984
325	0.1165196944
326	0.1160524378
327	0.1157837668
328	0.115420884
329	0.1149905385
330	0.1146392725
331	0.1143926212
332	0.1140537651
333	0.1136031881
334	0.1130208118
335	0.1127399182
336	0.1122199224
337	0.1115100627
338	0.1112156133
339	0.1107706172
340	0.1101214642
341	0.1097343017
342	0.1089933794
343	0.1084678927
344	0.1081134932
345	0.1076763284
346	0.1069250764
347	0.1060622809
348	0.1054285351
349	0.1051365916
350	0.1046643744
351	0.1044601981
352	0.1039643069
353	0.1034466758
354	0.1027097653
355	0.1021662732
356	0.1017360639
357	0.1013145447
358	0.1009088414
359	0.1005185307
360	0.09994511945
361	0.0994368232
362	0.09895358767
363	0.09873473644
364	0.09857190872
365	0.09826613932
366	0.0979960281
367	0.09769863498
368	0.09705287583
369	0.09676152589
370	0.09623862529
371	0.09578719188
372	0.09516576602
373	0.09463314864
374	0.09412414444
375	0.09383070226
376	0.09356580948
377	0.09334516769
378	0.09288130488
379	0.0925741147
380	0.09207438449
381	0.09140840112
382	0.09124502114
383	0.0908135273
384	0.09029048803
385	0.08994638433
386	0.08949116298
387	0.08909386275
388	0.08867672755
389	0.0881049633
390	0.08752790762
391	0.08705995034
392	0.08675797375
393	0.08626972169
394	0.08563762782
395	0.08534441189
396	0.08510124197
397	0.08443079676
398	0.08413386831
399	0.08382400201
400	0.08352781315
401	0.08293419468
402	0.08254767437
403	0.08218032
404	0.0820966813
405	0.08154761548
406	0.08119014575
407	0.08088270985
408	0.08048314221
409	0.08006957599
410	0.07963016325
411	0.07934776861
412	0.07893202743
413	0.07886139957
414	0.07858536681
415	0.07837696708
416	0.07794786229
417	0.0777797699
418	0.07757999216
419	0.07747645281
420	0.0772864405
421	0.077146282
422	0.07705555887
423	0.07665452665
424	0.07646875235
425	0.07598136639
426	0.07589205674
427	0.075410495
428	0.07526228136
429	0.0749174916
430	0.07459624689
431	0.07447805453
432	0.07428262428
433	0.07405334103
434	0.07369846471
435	0.0735864469
436	0.07335079689
437	0.07311005252
438	0.07272001432
439	0.07251148078
440	0.07214067177
441	0.0716590857
442	0.0711601778
443	0.07072268457
444	0.07054783617
445	0.07037126045
446	0.06999508459
447	0.06960679804
448	0.06938535097
449	0.06914133442
450	0.06881464258
451	0.06865279042
452	0.06831794126
453	0.06807801188
454	0.06775252187
455	0.06751606902
456	0.06740002486
457	0.06709599008
458	0.06679999828
459	0.06652893096
460	0.06645597244
461	0.06618492457
462	0.06604274682
463	0.06579369915
464	0.06560509059
465	0.06526379196
466	0.06502356335
467	0.06481498358
468	0.06452613704
469	0.06424797068
470	0.06385821712
471	0.06366029321
472	0.06348129681
473	0.06322254697
474	0.06303393841
475	0.06290531402
476	0.06273410758
477	0.06260415729
478	0.06218728241
479	0.06198504993
480	0.06170517328
481	0.06129709555
482	0.06092936895
483	0.06067413457
484	0.0603169811
485	0.06024348006
486	0.06012346063
487	0.05980455146
488	0.05968775555
489	0.05961965055
490	0.05939787748
491	0.05912398562
492	0.05899945327
493	0.05871809745
494	0.05834874572
